model_label,mean_final_steps,mean_final_reward
Hindsight bound,8.855555556,0.2865767028
Hindsight bound,8.858333333,0.288694175
Hindsight bound,8.861111111,0.2893468111
Hindsight bound,8.863888889,0.2914642833
Hindsight bound,8.866666667,0.2920665556
Hindsight bound,8.869444444,0.2941840278
Hindsight bound,8.872222222,0.2947326111
Hindsight bound,8.875,0.2968500833
Hindsight bound,8.877777778,0.2972332556
Hindsight bound,8.880555556,0.2992904694
Hindsight bound,8.883333333,0.2996736417
Hindsight bound,8.886111111,0.2998897139
Hindsight bound,8.888888889,0.3019469278
Hindsight bound,8.891666667,0.3023301
Hindsight bound,8.894444444,0.3024701861
Hindsight bound,8.897222222,0.3044481111
Hindsight bound,8.9,0.3048312833
Hindsight bound,8.902777778,0.3050542083
Hindsight bound,8.905555556,0.3063066917
Hindsight bound,8.908333333,0.3071722194
Hindsight bound,8.911111111,0.3075553917
Hindsight bound,8.913888889,0.3077740472
Hindsight bound,8.916666667,0.3090308
Hindsight bound,8.919444444,0.3098920583
Hindsight bound,8.922222222,0.3102752306
Hindsight bound,8.925,0.3104551167
Hindsight bound,8.927777778,0.3117506389
Hindsight bound,8.930555556,0.3125731278
Hindsight bound,8.933333333,0.3129563
Hindsight bound,8.936111111,0.3130963861
Hindsight bound,8.938888889,0.3144317083
Hindsight bound,8.941666667,0.3151689694
Hindsight bound,8.944444444,0.3155521417
Hindsight bound,8.947222222,0.315712025
Hindsight bound,8.95,0.31702755
Hindsight bound,8.952777778,0.3177632944
Hindsight bound,8.955555556,0.3181464667
Hindsight bound,8.958333333,0.3183078667
Hindsight bound,8.961111111,0.319621875
Hindsight bound,8.963888889,0.3203387167
Hindsight bound,8.966666667,0.3207218889
Hindsight bound,8.969444444,0.3209021917
Hindsight bound,8.972222222,0.3221972972
Hindsight bound,8.975,0.3228433944
Hindsight bound,8.977777778,0.3232265667
Hindsight bound,8.980555556,0.3234776139
Hindsight bound,8.983333333,0.324701975
Hindsight bound,8.986111111,0.3251010444
Hindsight bound,8.988888889,0.3255991194
Hindsight bound,8.991666667,0.3259822917
Hindsight bound,8.994444444,0.326959625
Hindsight bound,8.997222222,0.3274577
Hindsight bound,9.0,0.3278567694
Hindsight bound,9.002777778,0.3283296889
Hindsight bound,9.005555556,0.3287128611
Hindsight bound,9.008333333,0.32971535
Hindsight bound,9.011111111,0.3301882694
Hindsight bound,9.013888889,0.3305873389
Hindsight bound,9.016666667,0.3309705111
Hindsight bound,9.019444444,0.3312941833
Hindsight bound,9.022222222,0.3324459194
Hindsight bound,9.025,0.3328290917
Hindsight bound,9.027777778,0.3331686611
Hindsight bound,9.030555556,0.3335518333
Hindsight bound,9.033333333,0.3338635083
Hindsight bound,9.036111111,0.3350272417
Hindsight bound,9.038888889,0.3354104139
Hindsight bound,9.041666667,0.3357379861
Hindsight bound,9.044444444,0.3361211583
Hindsight bound,9.047222222,0.3363733056
Hindsight bound,9.05,0.3375965667
Hindsight bound,9.052777778,0.3379797389
Hindsight bound,9.055555556,0.3382477833
Hindsight bound,9.058333333,0.3386309556
Hindsight bound,9.061111111,0.3388786833
Hindsight bound,9.063888889,0.3401063639
Hindsight bound,9.066666667,0.3404895361
Hindsight bound,9.069444444,0.3407372639
Hindsight bound,9.072222222,0.3411080528
Hindsight bound,9.075,0.3413884806
Hindsight bound,9.077777778,0.3425834611
Hindsight bound,9.080555556,0.3429666333
Hindsight bound,9.083333333,0.3432470611
Hindsight bound,9.086111111,0.3435286861
Hindsight bound,9.088888889,0.3438655778
Hindsight bound,9.091666667,0.3450040944
Hindsight bound,9.094444444,0.3453872667
