model_label,mean_final_steps,mean_final_reward
Hindsight bound,8.17260274,0.460283105
Hindsight bound,8.175342466,0.461196347
Hindsight bound,8.178082192,0.462109589
Hindsight bound,8.180821918,0.4630228311
Hindsight bound,8.183561644,0.4639360731
Hindsight bound,8.18630137,0.4648493151
Hindsight bound,8.189041096,0.4657625571
Hindsight bound,8.191780822,0.4666757991
Hindsight bound,8.194520548,0.4673607306
Hindsight bound,8.197260274,0.4680456621
Hindsight bound,8.2,0.4687305936
Hindsight bound,8.202739726,0.4694155251
Hindsight bound,8.205479452,0.4700319635
Hindsight bound,8.208219178,0.470716895
Hindsight bound,8.210958904,0.4714018265
Hindsight bound,8.21369863,0.4718584475
Hindsight bound,8.216438356,0.472543379
Hindsight bound,8.219178082,0.4732283105
Hindsight bound,8.221917808,0.4736392694
Hindsight bound,8.224657534,0.4743242009
Hindsight bound,8.22739726,0.4745981735
Hindsight bound,8.230136986,0.475283105
Hindsight bound,8.232876712,0.4759680365
Hindsight bound,8.235616438,0.4763789954
Hindsight bound,8.238356164,0.4770639269
Hindsight bound,8.24109589,0.4773378995
Hindsight bound,8.243835616,0.4779771689
Hindsight bound,8.246575342,0.47843379
Hindsight bound,8.249315068,0.478890411
Hindsight bound,8.252054795,0.479347032
Hindsight bound,8.254794521,0.479803653
Hindsight bound,8.257534247,0.480260274
Hindsight bound,8.260273973,0.480716895
Hindsight bound,8.263013699,0.4811050228
Hindsight bound,8.265753425,0.481630137
Hindsight bound,8.268493151,0.4820182648
Hindsight bound,8.271232877,0.4823150685
Hindsight bound,8.273972603,0.4829315068
Hindsight bound,8.276712329,0.483
Hindsight bound,8.279452055,0.4836164384
Hindsight bound,8.282191781,0.4838447489
Hindsight bound,8.284931507,0.4843013699
Hindsight bound,8.287671233,0.4845296804
Hindsight bound,8.290410959,0.4849863014
Hindsight bound,8.293150685,0.4852146119
Hindsight bound,8.295890411,0.4856712329
Hindsight bound,8.298630137,0.4858995434
Hindsight bound,8.301369863,0.4863561644
Hindsight bound,8.304109589,0.4865844749
Hindsight bound,8.306849315,0.4870410959
Hindsight bound,8.309589041,0.4872694064
