model_label,mean_final_steps,reward_gap_to_oracle
Base Prompt,9.0,-0.04128006667
Base Prompt,9.25,-0.08019076389
Base Prompt,9.5,-0.09022353056
Base Prompt,9.75,-0.09158358889
Base Prompt,10.0,-0.09422373056
Base Prompt,10.25,-0.0983091
Base Prompt,10.5,-0.1012749056
Base Prompt,10.75,-0.1008239639
Base Prompt,11.0,-0.09907129444
Base Prompt,11.25,-0.09972040556
Base Prompt,11.5,-0.1003587667
Base Prompt,11.75,-0.09723425
Base Prompt,12.0,-0.09241038056
Base Prompt,12.25,-0.08463895833
Base Prompt,12.5,-0.08447373333
Base Prompt,12.75,-0.07712207778
Base Prompt,13.0,-0.077210425
Base Prompt,13.25,-0.07679745
Base Prompt,13.5,-0.07437226944
Base Prompt,13.75,-0.07434266389
Base Prompt,14.0,-0.07192801111
Base Prompt,14.25,-0.06954128333
Base Prompt,14.5,-0.06954128333
Base Prompt,14.75,-0.06697195833
Base Prompt,15.0,-0.06451154167
Base Prompt,15.25,-0.06449516111
Base Prompt,15.5,-0.06406020556
Base Prompt,15.75,-0.061326
Base Prompt,16.0,-0.061326
Base Prompt,16.25,-0.061326
Base Prompt,16.5,-0.061326
Base Prompt,16.75,-0.061326
Base Prompt,17.0,-0.061326
Base Prompt,17.25,-0.061326
Base Prompt,17.5,-0.05640270278
Base Prompt,17.75,-0.05612131389
Base Prompt,18.0,-0.055982425
Base Prompt,18.25,-0.05590071667
Base Prompt,18.5,-0.0558624
Base Prompt,18.75,-0.05556463333
Base Prompt,19.0,-0.05285762222
Base Prompt,19.25,-0.05264033889
Base Prompt,19.5,-0.04745017222
Base Prompt,19.75,-0.04695975278
Base Prompt,20.0,-0.04695975278
Base Prompt,20.25,-0.04695975278
Base Prompt,20.5,-0.04419875278
Base Prompt,20.75,-0.04419875278
Base Prompt,21.0,-0.04418701944
Base Prompt,21.25,-0.04418701944
Base Prompt,21.5,-0.04418701944
Base Prompt,21.75,-0.04418701944
Base Prompt,22.0,-0.04189346944
Base Prompt,22.25,-0.04183014167
Base Prompt,22.5,-0.04183014167
Base Prompt,22.75,-0.04177804444
Base Prompt,23.0,-0.04142515
Base Prompt,23.25,-0.04142515
Base Prompt,23.5,-0.04131978611
Base Prompt,23.75,-0.041260525
Base Prompt,24.0,-0.04089660278
