model_label,mean_final_steps,reward_gap_to_oracle
Base Prompt,8.25,-0.01751141553
Base Prompt,8.5,-0.04366666667
Base Prompt,8.75,-0.05549315068
Base Prompt,9.0,-0.06293607306
Base Prompt,9.25,-0.07015068493
Base Prompt,9.5,-0.0750913242
Base Prompt,9.75,-0.07700913242
Base Prompt,10.0,-0.07664383562
Base Prompt,10.25,-0.07683300718
Base Prompt,10.5,-0.07986627528
Base Prompt,10.75,-0.08023157208
Base Prompt,11.0,-0.0717840835
Base Prompt,11.25,-0.07149054142
Base Prompt,11.5,-0.06980104371
Base Prompt,11.75,-0.06809197652
Base Prompt,12.0,-0.06635225049
Base Prompt,12.25,-0.06667188519
Base Prompt,12.5,-0.06661709067
Base Prompt,12.75,-0.06469928245
Base Prompt,13.0,-0.06332941944
Base Prompt,13.25,-0.06241617743
Base Prompt,13.5,-0.06022439661
Base Prompt,13.75,-0.05766731898
Base Prompt,14.0,-0.05401435095
Base Prompt,14.25,-0.0495394651
Base Prompt,14.5,-0.04584083496
Base Prompt,14.75,-0.04584083496
Base Prompt,15.0,-0.04068101761
Base Prompt,15.25,-0.03854403131
Base Prompt,15.5,-0.03463992172
Base Prompt,15.75,-0.03349836921
Base Prompt,16.0,-0.03349836921
Base Prompt,16.25,-0.03167188519
Base Prompt,16.5,-0.03016503588
Base Prompt,16.75,-0.03016503588
Base Prompt,17.0,-0.02724266145
Base Prompt,17.25,-0.02538356164
Base Prompt,17.5,-0.02195890411
Base Prompt,17.75,-0.02195890411
Base Prompt,18.0,-0.02013242009
Base Prompt,18.25,-0.01903652968
Base Prompt,18.5,-0.01584018265
Base Prompt,18.75,-0.01291780822
Base Prompt,19.0,-0.009730593607
Base Prompt,19.25,-0.006625570776
Base Prompt,19.5,-0.00301369863
Base Prompt,19.75,-0.002328767123
Base Prompt,20.0,0.0
ZOIB Regression,8.25,-0.01769406393
ZOIB Regression,8.5,-0.03539269406
ZOIB Regression,8.75,-0.04048401826
ZOIB Regression,9.0,-0.04761643836
ZOIB Regression,9.25,-0.05238812785
ZOIB Regression,9.5,-0.05080365297
ZOIB Regression,9.75,-0.05144292237
ZOIB Regression,10.0,-0.05221917808
ZOIB Regression,10.25,-0.05570515329
ZOIB Regression,10.5,-0.05440378343
ZOIB Regression,10.75,-0.05312067841
ZOIB Regression,11.0,-0.05191063275
ZOIB Regression,11.25,-0.0542198304
ZOIB Regression,11.5,-0.05141161122
ZOIB Regression,11.75,-0.04709980431
ZOIB Regression,12.0,-0.0462778865
ZOIB Regression,12.25,-0.04504500978
ZOIB Regression,12.5,-0.04225048924
ZOIB Regression,12.75,-0.03978473581
ZOIB Regression,13.0,-0.03626875408
ZOIB Regression,13.25,-0.03421395956
ZOIB Regression,13.5,-0.02968688845
ZOIB Regression,13.75,-0.02375081539
ZOIB Regression,14.0,-0.02082844097
ZOIB Regression,14.25,-0.01644487932
ZOIB Regression,14.5,-0.01575994781
ZOIB Regression,14.75,-0.0139334638
ZOIB Regression,15.0,-0.009047619048
ZOIB Regression,15.25,-0.008362687541
ZOIB Regression,15.5,-0.006738421396
ZOIB Regression,15.75,-0.006738421396
ZOIB Regression,16.0,-0.006738421396
ZOIB Regression,16.25,-0.005048923679
ZOIB Regression,16.5,-0.00413568167
ZOIB Regression,16.75,-0.003679060665
ZOIB Regression,17.0,-0.003679060665
ZOIB Regression,17.25,-0.003679060665
ZOIB Regression,17.5,-0.003679060665
ZOIB Regression,17.75,-0.001304631442
ZOIB Regression,18.0,-0.001304631442
ZOIB Regression,18.25,-0.001304631442
ZOIB Regression,18.5,0.0
ZOIB Regression,18.75,0.0
ZOIB Regression,19.0,0.0
ZOIB Regression,19.25,0.0
ZOIB Regression,19.5,0.0
ZOIB Regression,19.75,0.0
