domain,split,series,kind,mean_final_steps,mean_final_reward,expansion_count
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.855555556,0.2865767028,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.858333333,0.288694175,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.861111111,0.2893468111,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.863888889,0.2914642833,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.866666667,0.2920665556,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.869444444,0.2941840278,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.872222222,0.2947326111,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.875,0.2968500833,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.877777778,0.2972332556,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.880555556,0.2992904694,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.883333333,0.2996736417,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.886111111,0.2998897139,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.888888889,0.3019469278,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.891666667,0.3023301,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.894444444,0.3024701861,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.897222222,0.3044481111,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.9,0.3048312833,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.902777778,0.3050542083,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.905555556,0.3063066917,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.908333333,0.3071722194,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.911111111,0.3075553917,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.913888889,0.3077740472,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.916666667,0.3090308,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.919444444,0.3098920583,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.922222222,0.3102752306,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.925,0.3104551167,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.927777778,0.3117506389,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.930555556,0.3125731278,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.933333333,0.3129563,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.936111111,0.3130963861,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.938888889,0.3144317083,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.941666667,0.3151689694,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.944444444,0.3155521417,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.947222222,0.315712025,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.95,0.31702755,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.952777778,0.3177632944,-1
Paper Search,test,Fixed-replay hindsight upper bound,oracle,8.955555556,0.3181464667,-1
