domain,split,series,kind,mean_final_steps,mean_final_reward,expansion_count
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.17260274,0.460283105,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.175342466,0.461196347,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.178082192,0.462109589,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.180821918,0.4630228311,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.183561644,0.4639360731,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.18630137,0.4648493151,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.189041096,0.4657625571,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.191780822,0.4666757991,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.194520548,0.4673607306,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.197260274,0.4680456621,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.2,0.4687305936,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.202739726,0.4694155251,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.205479452,0.4700319635,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.208219178,0.470716895,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.210958904,0.4714018265,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.21369863,0.4718584475,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.216438356,0.472543379,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.219178082,0.4732283105,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.221917808,0.4736392694,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.224657534,0.4743242009,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.22739726,0.4745981735,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.230136986,0.475283105,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.232876712,0.4759680365,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.235616438,0.4763789954,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.238356164,0.4770639269,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.24109589,0.4773378995,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.243835616,0.4779771689,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.246575342,0.47843379,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.249315068,0.478890411,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.252054795,0.479347032,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.254794521,0.479803653,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.257534247,0.480260274,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.260273973,0.480716895,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.263013699,0.4811050228,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.265753425,0.481630137,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.268493151,0.4820182648,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.271232877,0.4823150685,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.273972603,0.4829315068,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.276712329,0.483,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.279452055,0.4836164384,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.282191781,0.4838447489,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.284931507,0.4843013699,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.287671233,0.4845296804,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.290410959,0.4849863014,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.293150685,0.4852146119,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.295890411,0.4856712329,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.298630137,0.4858995434,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.301369863,0.4863561644,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.304109589,0.4865844749,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.306849315,0.4870410959,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.309589041,0.4872694064,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.312328767,0.4877260274,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.315068493,0.4879543379,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.317808219,0.4882739726,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.320547945,0.4886392694,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.323287671,0.4888675799,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.326027397,0.4893150685,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.328767123,0.4895525114,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.331506849,0.4898630137,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.334246575,0.4902283105,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.336986301,0.4904657534,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.339726027,0.4907762557,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.342465753,0.4911415525,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.345205479,0.4913789954,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.347945205,0.4916894977,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.350684932,0.4920547945,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.353424658,0.4922922374,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.356164384,0.4926027397,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.35890411,0.4929680365,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.361643836,0.4932054795,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.364383562,0.4935159817,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.367123288,0.4938812785,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.369863014,0.4941187215,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.37260274,0.4944292237,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.375342466,0.4947945205,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.378082192,0.4950319635,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.380821918,0.4953424658,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.383561644,0.4957077626,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.38630137,0.4959452055,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.389041096,0.4962557078,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.391780822,0.4966210046,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.394520548,0.4968584475,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.397260274,0.4971689498,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.4,0.4975342466,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.402739726,0.4977625571,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.405479452,0.4980821918,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.408219178,0.4984474886,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.410958904,0.498630137,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.41369863,0.4989954338,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.416438356,0.4991780822,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.419178082,0.499543379,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.421917808,0.4998173516,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.424657534,0.5000913242,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.42739726,0.5003652968,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.430136986,0.5005479452,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.432876712,0.500913242,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.435616438,0.5011872146,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.438356164,0.5014611872,-1
WebShop,test,Fixed-replay hindsight upper bound,oracle,8.44109589,0.5017351598,-1
