domain,step_bin,step_min_exclusive,step_max_inclusive,additional_steps,n,mean_gain,positive_rate
WebShop,1-10,0,10,+5,581,0.06656339644291451,0.16695352839931152
WebShop,1-10,0,10,+10,581,0.09961560527825587,0.24612736660929432
WebShop,1-10,0,10,+20,581,0.11715474141463815,0.2943201376936317
WebShop,1-10,0,10,to H,581,0.14267314154577496,0.35628227194492257
WebShop,11-20,10,20,+5,282,0.03569148936170213,0.09219858156028368
WebShop,11-20,10,20,+10,282,0.053457446808510646,0.14184397163120568
WebShop,11-20,10,20,+20,282,0.0791210739614995,0.19858156028368795
WebShop,11-20,10,20,to H,282,0.10558172914555894,0.25886524822695034
WebShop,21-30,20,30,+5,126,0.02441798941798942,0.07142857142857142
WebShop,21-30,20,30,+10,126,0.04148148148148148,0.12698412698412698
WebShop,21-30,20,30,+20,126,0.05491685563114135,0.19047619047619047
WebShop,21-30,20,30,to H,126,0.07198034769463339,0.25396825396825395
WebShop,31-40,30,40,+5,85,0.03411764705882353,0.10588235294117647
WebShop,31-40,30,40,+10,85,0.03705882352941176,0.11764705882352941
WebShop,31-40,30,40,+20,85,0.038739495798319326,0.12941176470588237
WebShop,31-40,30,40,to H,85,0.038739495798319326,0.12941176470588237
WebShop,41-50,40,50,+5,67,0.0009950248756218905,0.014925373134328358
WebShop,41-50,40,50,+10,67,0.037953091684434975,0.13432835820895522
WebShop,41-50,40,50,+20,67,0.042928216062544426,0.14925373134328357
WebShop,41-50,40,50,to H,67,0.042928216062544426,0.14925373134328357
WebShop,51-60,50,60,+5,101,0.003300330033003301,0.009900990099009901
WebShop,51-60,50,60,+10,101,0.003300330033003301,0.009900990099009901
WebShop,51-60,50,60,+20,101,0.003300330033003301,0.009900990099009901
WebShop,51-60,50,60,to H,101,0.003300330033003301,0.009900990099009901
Paper Search,1-10,0,10,+5,618,0.06506423462783173,0.2168284789644013
Paper Search,1-10,0,10,+10,618,0.08126180258899676,0.284789644012945
Paper Search,1-10,0,10,+20,618,0.08851633656957927,0.32362459546925565
Paper Search,1-10,0,10,to H,618,0.11381919093851132,0.3640776699029126
Paper Search,11-20,10,20,+5,448,0.002021526785714286,0.011160714285714286
Paper Search,11-20,10,20,+10,448,0.004042415178571428,0.03125
Paper Search,11-20,10,20,+20,448,0.013296011160714284,0.06696428571428571
Paper Search,11-20,10,20,to H,448,0.033141935267857144,0.12946428571428573
Paper Search,21-30,20,30,+5,224,0.0,0.0
Paper Search,21-30,20,30,+10,224,0.00038149107142857163,0.013392857142857142
Paper Search,21-30,20,30,+20,224,0.0013884821428571431,0.04017857142857143
Paper Search,21-30,20,30,to H,224,0.01993722321428571,0.08482142857142858
Paper Search,31-40,30,40,+5,176,0.0,0.0
Paper Search,31-40,30,40,+10,176,0.0,0.0
Paper Search,31-40,30,40,+20,176,0.010517642045454545,0.03409090909090909
Paper Search,31-40,30,40,to H,176,0.016028886363636363,0.056818181818181816
Paper Search,41-50,40,50,+5,141,0.0,0.0
Paper Search,41-50,40,50,+10,141,0.006367063829787234,0.0070921985815602835
Paper Search,41-50,40,50,+20,141,0.012900503546099291,0.03546099290780142
Paper Search,41-50,40,50,to H,141,0.012900503546099291,0.03546099290780142
Paper Search,51-60,50,60,+5,335,1.3776119402985078e-05,0.0029850746268656717
Paper Search,51-60,50,60,+10,335,1.3776119402985078e-05,0.0029850746268656717
Paper Search,51-60,50,60,+20,335,1.3776119402985078e-05,0.0029850746268656717
Paper Search,51-60,50,60,to H,335,1.3776119402985078e-05,0.0029850746268656717
