model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Base Prompt,8.79945054945055,0.28344283516483526,policy2,0.03,0.15
Base Prompt,9.126373626373626,0.2852809917582419,policy2,-0.001,1.5
Base Prompt,9.527472527472527,0.28737519505494513,policy2,0.0075,0.5
Base Prompt,9.615384615384615,0.2898505494505495,policy2,0.0005,0.75
Base Prompt,9.719780219780219,0.28996443956043966,policy2,-0.0005,0.75
Base Prompt,9.766483516483516,0.29282030769230766,policy2,-0.005,1.0
Base Prompt,9.936813186813186,0.2928664972527472,policy2,0.0005,0.6
Base Prompt,9.961538461538462,0.2935140412087913,policy2,-0.01,1.5
Base Prompt,10.37087912087912,0.2958073598901099,policy2,-0.005,0.9
Base Prompt,10.857142857142858,0.29757455769230773,policy2,-0.0005,0.5
Base Prompt,10.983516483516484,0.2982172142857143,policy2,-5e-05,0.45
Base Prompt,11.186813186813186,0.3082837362637363,policy2,-0.05,5.0
Base Prompt,11.903846153846153,0.3089467115384616,policy2,-0.0005,0.45
Base Prompt,12.717032967032967,0.324509021978022,policy2,0.0,0.4
Base Prompt,12.917582417582418,0.3246501126373627,policy2,-5e-05,0.4
Base Prompt,13.002747252747254,0.32467765384615394,policy2,-0.0001,0.4
Base Prompt,14.532967032967033,0.36281194505494513,policy2,-0.01,1.25
Base Prompt,16.318681318681318,0.3711618076923078,policy2,-0.02,2.0
Base Prompt,20.642857142857142,0.37733970604395595,policy2,-0.05,4.0
Base Prompt,22.057692307692307,0.38457576648351655,policy2,-0.005,0.75
Base Prompt,24.145604395604394,0.38499137087912094,policy2,-0.02,1.75
Base Prompt,27.36263736263736,0.3849934450549451,policy2,-0.01,1.0
Base Prompt,30.447802197802197,0.3906618406593406,policy2,-0.02,1.5
Base Prompt,31.60989010989011,0.39311287165664527,common_support_interpolation,-0.02,1.5
ZOIB Regression,8.79945054945055,0.28373762896825405,common_support_interpolation,0.0005,0.75
ZOIB Regression,8.846153846153847,0.286669565934066,policy2,0.005,0.2
ZOIB Regression,8.85989010989011,0.28939500824175834,policy2,0.005,0.18
ZOIB Regression,8.862637362637363,0.28945053571428586,policy2,5e-05,0.75
ZOIB Regression,8.89010989010989,0.28946508516483527,policy2,0.0,0.75
ZOIB Regression,8.928571428571429,0.28947507142857154,policy2,0.005,0.12
ZOIB Regression,8.956043956043956,0.29005870329670347,policy2,0.002,0.45
ZOIB Regression,8.967032967032967,0.29208678296703305,policy2,0.005,0.07
ZOIB Regression,8.972527472527473,0.29220639285714295,policy2,0.005,0.06
