model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Base Prompt,9.455525606469003,0.4660017969451929,policy1,0.05,1.0
Base Prompt,9.474393530997304,0.46690026954177877,policy2,-0.0001,2.0
Base Prompt,9.485175202156334,0.46797843665768163,policy2,0.002,1.75
Base Prompt,9.625336927223719,0.46887690925426745,policy2,0.0075,0.4
Base Prompt,9.671159029649596,0.46995507637017037,policy2,0.0075,0.3
Base Prompt,9.68733153638814,0.4702246181491462,policy2,-0.005,1.25
Base Prompt,9.706199460916443,0.4713027852650491,policy2,0.0075,0.25
Base Prompt,9.730458221024259,0.4733243486073672,policy2,0.002,0.6
Base Prompt,9.8544474393531,0.47440251572327014,policy2,-0.001,0.75
Base Prompt,9.98921832884097,0.47507637017070947,policy2,0.002,0.5
Base Prompt,10.026954177897574,0.47642407906558826,policy2,-0.005,1.0
Base Prompt,10.11320754716981,0.4768733153638811,policy2,0.002,0.45
Base Prompt,10.169811320754716,0.47911949685534566,policy2,0.005,0.2
Base Prompt,10.215633423180593,0.48091644204851725,policy2,0.001,0.45
Base Prompt,10.38544474393531,0.481814914645103,policy2,0.005,0.12
Base Prompt,10.398921832884097,0.48316262353998174,policy2,0.005,0.1
Base Prompt,10.463611859838275,0.4838364779874211,policy2,0.005,0.09
Base Prompt,10.517520215633423,0.4856334231805927,policy2,0.005,0.08
Base Prompt,10.633423180592992,0.48796945193171576,policy2,0.001,0.35
Base Prompt,10.746630727762803,0.49066486972147316,policy2,-0.001,0.5
Base Prompt,10.851752021563343,0.4918604800410728,policy2,-0.05,5.0
Base Prompt,10.859838274932615,0.4942587601078165,policy2,-0.0005,0.45
Base Prompt,11.10512129380054,0.4969541778975739,policy2,-5e-05,0.4
Base Prompt,11.22911051212938,0.5032434860736746,policy2,-0.001,0.45
Base Prompt,11.45822102425876,0.5060287511230906,policy2,5e-05,0.35
Base Prompt,11.533692722371967,0.506567834681042,policy2,0.0,0.35
Base Prompt,11.66576819407008,0.5079861378513668,policy2,-5e-05,0.35
Base Prompt,11.79245283018868,0.5090463355153381,policy2,-0.0001,0.35
Base Prompt,12.134770889487871,0.5184533436015913,policy2,0.002,0.15
Base Prompt,12.22911051212938,0.5230400462071619,policy2,0.0002,0.3
Base Prompt,12.277628032345014,0.5231074316519059,policy2,-0.001,0.4
Base Prompt,12.336927223719677,0.5237139006546013,policy2,-0.0005,0.35
Base Prompt,12.512129380053908,0.5251514568091386,policy2,0.0005,0.25
Base Prompt,12.65498652291105,0.5258253112565779,policy2,0.002,0.12
Base Prompt,12.768194070080863,0.5293043255037861,policy2,-0.01,1.25
Base Prompt,13.199460916442048,0.5314856886150685,policy2,0.0002,0.25
Base Prompt,13.398921832884097,0.5359780515979975,policy2,-0.0005,0.3
Base Prompt,13.436657681940702,0.5495783596457448,policy2,-0.02,2.0
Base Prompt,14.118598382749326,0.5562090874085481,policy2,-0.05,4.0
Base Prompt,14.355795148247978,0.557601719933256,policy2,-0.005,0.75
Base Prompt,15.132075471698114,0.563554100885637,policy2,-0.02,1.75
Base Prompt,16.056603773584907,0.5706969580284941,policy2,-0.01,1.0
Base Prompt,16.51752021563342,0.5723815941470924,policy2,-0.02,1.5
Base Prompt,16.576819407008085,0.5727409831857267,policy2,-0.05,3.0
Base Prompt,16.725067385444746,0.5732800667436782,policy2,-0.005,0.6
Base Prompt,16.768194070080863,0.5736394557823125,policy2,-0.01,0.9
Base Prompt,17.253369272237197,0.5757508663842891,policy2,-0.1,5.0
Base Prompt,17.38544474393531,0.5766493389808749,policy2,-0.02,1.25
Base Prompt,17.7277628032345,0.577278269798485,policy2,-0.005,0.5
Base Prompt,17.8544474393531,0.5774836349634188,policy2,-0.1,4.0
Base Prompt,17.89757412398922,0.5790752149916566,policy2,-0.001,0.3
Base Prompt,17.92452830188679,0.5790939072093387,common_support_interpolation,-0.001,0.3
ZOIB Regression,9.455525606469003,0.47203998203054787,common_support_interpolation,-5e-05,1.5
ZOIB Regression,9.520215633423181,0.4722461814914643,policy2,0.015,0.3
ZOIB Regression,9.571428571428571,0.4734815813117698,policy2,0.0075,0.9
ZOIB Regression,9.576819407008086,0.47869272237196747,policy2,0.015,0.25
ZOIB Regression,9.730458221024259,0.4835893980233601,policy2,-5e-05,1.25
ZOIB Regression,9.787061994609164,0.484038634321653,policy2,0.015,0.12
ZOIB Regression,9.84366576819407,0.4853863432165317,policy2,0.01,0.5
ZOIB Regression,9.862533692722373,0.4864195867026054,policy2,0.0075,0.6
ZOIB Regression,9.867924528301886,0.48808176100628914,policy2,0.01,0.45
ZOIB Regression,9.88679245283019,0.48821653189577696,policy2,0.01,0.4
ZOIB Regression,10.016172506738544,0.48882300089847236,policy1,0.015,1.0
ZOIB Regression,10.134770889487871,0.48918238993710667,policy2,0.01,0.35
ZOIB Regression,10.148247978436657,0.4900808625336925,policy2,0.0075,0.5
ZOIB Regression,10.177897574123989,0.49306828391734026,policy2,0.0075,0.45
ZOIB Regression,10.234501347708894,0.4946316262353996,policy2,0.0075,0.4
ZOIB Regression,10.277628032345014,0.49553009883198534,policy2,0.002,0.9
ZOIB Regression,10.39622641509434,0.49997753818508506,policy2,-5e-05,1.0
ZOIB Regression,10.549865229110512,0.5005166217430366,policy2,-0.0001,1.0
ZOIB Regression,10.679245283018869,0.5009658580413294,policy2,0.0005,0.9
ZOIB Regression,10.819407008086253,0.5016217430368372,policy2,0.005,0.5
ZOIB Regression,10.84366576819407,0.5057277628032342,policy2,-0.0005,1.0
ZOIB Regression,10.91644204851752,0.5066981132075469,policy2,0.0002,0.9
ZOIB Regression,11.008086253369273,0.50903414195867,policy2,0.0001,0.9
ZOIB Regression,11.07277628032345,0.510112309074573,policy2,5e-05,0.9
ZOIB Regression,11.134770889487871,0.5133468104222818,policy2,-5e-05,0.9
ZOIB Regression,11.331536388140162,0.5175696316262351,policy2,-0.001,1.0
ZOIB Regression,12.11320754716981,0.5222866127583106,policy2,-0.0005,0.9
ZOIB Regression,12.425876010781671,0.5249133615710432,policy2,-0.005,1.5
ZOIB Regression,12.544474393530997,0.5260601976639707,policy2,0.0005,0.75
ZOIB Regression,12.630727762803234,0.528710691823899,policy2,-0.001,0.9
ZOIB Regression,12.79245283018868,0.5305884995507633,policy2,0.0002,0.75
ZOIB Regression,12.805929919137466,0.5326100628930813,policy2,5e-05,0.75
ZOIB Regression,12.932614555256064,0.5332839173405206,policy2,-5e-05,0.75
ZOIB Regression,13.06199460916442,0.537753818508535,policy2,0.001,0.6
ZOIB Regression,13.455525606469003,0.5378032345013471,policy2,0.005,0.07
ZOIB Regression,13.525606469002696,0.544407008086253,policy2,0.002,0.45
ZOIB Regression,13.617250673854448,0.5500898472596583,policy2,0.0005,0.6
ZOIB Regression,14.1455525606469,0.5560037222436139,policy2,0.001,0.5
ZOIB Regression,14.167115902964959,0.5564754203568216,policy2,0.0002,0.6
ZOIB Regression,14.514824797843666,0.5595976126299572,policy2,0.002,0.35
ZOIB Regression,14.892183288409704,0.560945321524836,policy2,5e-05,0.6
ZOIB Regression,14.981132075471699,0.5630567321268126,policy2,0.001,0.45
ZOIB Regression,15.237196765498652,0.5687620331151325,policy2,0.0005,0.5
ZOIB Regression,15.528301886792454,0.5703600308047744,policy2,0.0002,0.5
ZOIB Regression,15.628032345013477,0.5715729688101653,policy2,0.0001,0.5
ZOIB Regression,15.830188679245284,0.5726960595558974,policy2,0.0002,0.45
ZOIB Regression,15.832884097035041,0.5731196252085736,policy2,0.002,0.2
ZOIB Regression,15.929919137466307,0.5739539211911175,policy2,0.0005,0.4
ZOIB Regression,16.005390835579515,0.5742427159543059,policy2,0.002,0.15
ZOIB Regression,16.053908355795148,0.5744031574894104,policy2,0.001,0.3
ZOIB Regression,16.121293800539082,0.574493004749069,policy2,5e-05,0.45
ZOIB Regression,16.191374663072775,0.5749422410473618,policy2,0.0,0.45
ZOIB Regression,16.223719676549866,0.5755262482351428,policy2,0.002,0.12
ZOIB Regression,16.495956873315365,0.5758407136439477,policy2,0.001,0.25
ZOIB Regression,16.641509433962263,0.576200102682582,policy2,0.002,0.07
ZOIB Regression,16.889487870619945,0.577278269798485,policy2,0.001,0.2
ZOIB Regression,17.288409703504044,0.5781767423950707,policy2,0.001,0.18
ZOIB Regression,17.92452830188679,0.5785276075899868,common_support_interpolation,0.001,0.18
Support ZOIB,9.455525606469003,0.469164420485175,common_support_interpolation,0.01,0.4
Support ZOIB,9.463611859838275,0.4699460916442046,policy2,0.0075,0.6
Support ZOIB,9.547169811320755,0.4717430368373762,policy2,0.01,0.35
Support ZOIB,9.590296495956874,0.47340970350404293,policy2,0.0,1.25
Support ZOIB,9.606469002695418,0.47655435759209325,policy2,0.005,0.75
Support ZOIB,9.76010781671159,0.4779020664869719,policy2,0.0075,0.45
Support ZOIB,9.765498652291106,0.4799910152740339,policy2,0.01,0.25
Support ZOIB,9.870619946091644,0.48612309074573207,policy2,0.01,0.2
Support ZOIB,9.892183288409704,0.48702156334231783,policy2,0.01,0.15
Support ZOIB,9.943396226415095,0.48949236298292886,policy2,0.01,0.12
Support ZOIB,10.04312668463612,0.4909209344115002,policy2,0.0075,0.35
Support ZOIB,10.142857142857142,0.4912803234501345,policy2,0.0075,0.3
Support ZOIB,10.18867924528302,0.49217879604672027,policy2,0.005,0.5
Support ZOIB,10.277628032345014,0.4938409703504041,policy2,0.01,0.03
Support ZOIB,10.355795148247978,0.49449236298292865,policy2,0.005,0.45
Support ZOIB,10.38544474393531,0.49494159928122156,policy2,0.002,0.75
Support ZOIB,10.393530997304582,0.4970530098831983,policy2,0.0075,0.18
Support ZOIB,10.493261455525607,0.4986702605570527,policy2,0.0075,0.15
Support ZOIB,10.547169811320755,0.49929919137466267,policy2,0.0001,0.9
Support ZOIB,10.587601078167117,0.5006469002695414,policy2,5e-05,0.9
Support ZOIB,10.652291105121293,0.5006918238993707,policy2,0.0075,0.1
Support ZOIB,10.66576819407008,0.5011859838274928,policy2,-5e-05,0.9
Support ZOIB,10.695417789757412,0.5020844564240786,policy2,-0.0001,0.9
Support ZOIB,10.787061994609164,0.5024438454627129,policy2,0.001,0.75
Support ZOIB,10.822102425876011,0.5028481581311767,policy2,0.005,0.3
Support ZOIB,11.107816711590296,0.5062219227313565,policy2,0.005,0.25
Support ZOIB,11.245283018867925,0.506448466178924,policy2,-0.0005,0.9
Support ZOIB,11.274932614555256,0.5074573225516619,policy2,0.002,0.6
Support ZOIB,11.452830188679245,0.5089911436272618,policy2,0.0005,0.75
Support ZOIB,11.566037735849056,0.5102201257861632,policy2,0.005,0.2
Support ZOIB,11.606469002695418,0.514988448209472,policy2,0.0002,0.75
Support ZOIB,11.768194070080863,0.5166056988833265,policy2,5e-05,0.75
Support ZOIB,11.787061994609164,0.5172795533307659,policy2,0.0,0.75
Support ZOIB,12.121293800539084,0.5197278911564622,policy2,0.005,0.1
Support ZOIB,12.132075471698114,0.5202669747144136,policy2,0.005,0.09
Support ZOIB,12.18867924528302,0.520873443717109,policy2,0.005,0.08
Support ZOIB,12.361185983827493,0.522895007059427,policy2,0.005,0.03
Support ZOIB,12.369272237196766,0.5246245668078547,policy2,0.002,0.4
Support ZOIB,12.590296495956874,0.5261744320369652,policy2,0.0005,0.6
Support ZOIB,12.641509433962264,0.5300154023873697,policy2,0.001,0.5
Support ZOIB,12.986522911051212,0.5312283403927605,policy2,5e-05,0.6
